OTU_ID	Kingdom	Supergroup	Phylum	Class	Subclass	Order	Suborder	Family	Genus	Species	1-200-3	1-200-8	1-300-0.22	1-60-3	10-20-3
98c3486da3303fe786f33f11d724f5fd	Eukaryota	Alveolata	Dinoflagellata	Syndiniales	Dino-Group-I	Dino-Group-I-Clade-5	Dino-Group-I-Clade-5X	Dino-Group-I-Clade-5Xsp.	Dino-Group-I-Clade-5Xsp. organism	Dino-Group-I-Clade-5Xsp. organism	0	0	0	9	0
9b910dc5bb83799f28504e8533ae04fa	Eukaryota	Alveolata	Ciliophora	Oligohymenophorea	OLIGO5	OLIGO5X	OLIGO5XX	OLIGO5XXsp.	OLIGO5XXsp. organism	OLIGO5XXsp. organism	0	8	0	0	0
95696ccd54aac3957a3f2b66815df96f	Eukaryota	Alveolata	Dinoflagellata	Syndiniales	Dino-Group-II	Dino-Group-II-Clade-17	Dino-Group-II-Clade-17X	Dino-Group-II-Clade-17Xsp.	Dino-Group-II-Clade-17Xsp. organism	Dino-Group-II-Clade-17Xsp. organism	0	0	0	8	0
9ba0c64b902e17dd4b737c7fcf6480f0	Eukaryota	Alveolata	Dinoflagellata	Syndiniales	Dino-Group-I	Dino-Group-I-Clade-1	Dino-Group-I-Clade-1X	Dino-Group-I-Clade-1Xsp.	Dino-Group-I-Clade-1Xsp. organism	Dino-Group-I-Clade-1Xsp. organism	0	0	0	2	0
9a964077a2546edbe75b1aa69e59dad0	Eukaryota	Opisthokonta	Metazoa	Ctenophora	CX	CXX	CXX organism	CXX organism	CXX organism	CXX organism	0	6	0	0	0
f116244938f966d2d5ea82580e9c35c1	Eukaryota	Rhizaria	Radiolaria	RAD-A	RAD-AX	RAD-AXX	RAD-AXXX	RAD-AXXXsp.	RAD-AXXXsp. organism	RAD-AXXXsp. organism	0	4	0	0	0
53ef6fff8c0914bfaf664c9446788d9a	Eukaryota	Alveolata	Dinoflagellata	Syndiniales	Dino-Group-I	Dino-Group-I-Clade-4	Dino-Group-I-Clade-4X	Dino-Group-I-Clade-4Xsp.	Dino-Group-I-Clade-4Xsp. organism	Dino-Group-I-Clade-4Xsp. organism	0	6	0	0	0
3344595cd4573c52c4f4a320a2c4537d	Eukaryota	Alveolata	Dinoflagellata	Syndiniales	Dino-Group-II	Dino-Group-II-Clade-6	Dino-Group-II-Clade-6X	Dino-Group-II-Clade-6Xsp.	Dino-Group-II-Clade-6Xsp. organism	Dino-Group-II-Clade-6Xsp. organism	0	0	0	6	0
793c300ca529b91645ab9e9bceb825de	Eukaryota	Alveolata	Dinoflagellata	Syndiniales	Dino-Group-II	Dino-Group-II-Clade-7	Dino-Group-II-Clade-7X	Dino-Group-II-Clade-7Xsp.	Dino-Group-II-Clade-7Xsp. organism	Dino-Group-II-Clade-7Xsp. organism	5	0	0	0	0
77bdb1948feb1cb9c0f7dc5aba5ff88b	Eukaryota	Alveolata	Ciliophora	Nassophorea	NX	Discotrichidae	NASSO1	NASSO1sp.	NASSO1sp. organism	NASSO1sp. organism	0	5	0	0	0
d9fe75e2058df3a451b21eb222481cd8	Eukaryota	Rhizaria	Radiolaria	Polycystinea	Spumellarida	Pyloniidae-Spongodiscidae	Stylodictya	Stylodictya organism	Stylodictya organism	Stylodictya organism	0	5	0	0	0
48ee01df6f776824e369aa843a2af4e2	Eukaryota	Alveolata	Dinoflagellata	Syndiniales	Dino-Group-II	Dino-Group-II-Clade-10-and-11	Dino-Group-II-Clade-10-and-11X	Dino-Group-II-Clade-10-and-11Xsp.	Dino-Group-II-Clade-10-and-11Xsp. organism	Dino-Group-II-Clade-10-and-11Xsp. organism	0	5	0	0	0
2d1259f4818be43c9df15c4a4500c59f	Eukaryota	Alveolata	Dinoflagellata	Syndiniales	Dino-Group-I	Dino-Group-I-Clade-1	Dino-Group-I-Clade-1X	Dino-Group-I-Clade-1Xsp.	Dino-Group-I-Clade-1Xsp. organism	Dino-Group-I-Clade-1Xsp. organism	0	5	0	0	0
6b7a7f445fdbde4c37f77bac84229bc5	Eukaryota	Stramenopiles	SX	MAST	MAST-3	MAST-3A	MAST-3AX	MAST-3AXsp.	MAST-3AXsp. organism	MAST-3AXsp. organism	0	0	0	5	0
bac19062af1395f4b1dd83fa82f39ac4	Eukaryota	Alveolata	Apicomplexa	AX	Gregarines	GX	Lankesteria	Lankesteria organism	Lankesteria organism	Lankesteria organism	0	4	0	0	0
605b6f645cfe9edb7cebf397f07277e0	Eukaryota	Opisthokonta	Metazoa	Mollusca	Gastropoda	Heterobranchia	Heterobranchia organism	Heterobranchia organism	Heterobranchia organism	Heterobranchia organism	0	4	0	0	0
b406a6596b5a9045cbd7a066a35b53d5	Eukaryota	Alveolata	Dinoflagellata	Dinophyceae	Dinophyceae organism	Dinophyceae organism	Dinophyceae organism	Dinophyceae organism	Dinophyceae organism	Dinophyceae organism	0	3	0	0	0
6119b73ab15810e2f0355af3f6307fa2	Eukaryota	Eukaryota organism	Eukaryota organism	Eukaryota organism	Eukaryota organism	Eukaryota organism	Eukaryota organism	Eukaryota organism	Eukaryota organism	Eukaryota organism	0	3	0	0	0
de4b6abedcaf9a017f34a981e26ed6f9	Eukaryota	Alveolata	Dinoflagellata	Syndiniales	Dino-Group-I	Dino-Group-IX	Dino-Group-IXX	Dino-Group-IXXsp.	Dino-Group-IXXsp. organism	Dino-Group-IXXsp. organism	0	3	0	0	0
f8114f514dedfb36cb729ed46777f181	Eukaryota	Alveolata	Ciliophora	Oligohymenophorea	Apostomatia	AX	AXX	AXXsp.	AXXsp. organism	AXXsp. organism	0	3	0	0	0
993640b9237a75a2a787a53ee5cf8326	Eukaryota	Alveolata	Dinoflagellata	Syndiniales	Dino-Group-II	Dino-Group-II-Clade-21	Dino-Group-II-Clade-21X	Dino-Group-II-Clade-21Xsp.	Dino-Group-II-Clade-21Xsp. organism	Dino-Group-II-Clade-21Xsp. organism	0	2	0	0	0
