# Constructed from biom file						
#OTU ID	1-200-3	1-200-8	1-300-0.22	1-60-3	10-20-3	taxonomy
d9fe75e2058df3a451b21eb222481cd8	0	5	0	0	0	kingdom_Eukaryota; supergroup_Rhizaria; division_Radiolaria; class_Polycystinea; order_Spumellarida; family_Pyloniidae-Spongodiscidae; genus_Stylodictya
48ee01df6f776824e369aa843a2af4e2	0	5	0	0	0	kingdom_Eukaryota; supergroup_Alveolata; division_Dinoflagellata; class_Syndiniales; order_Dino-Group-II; family_Dino-Group-II-Clade-10-and-11; genus_Dino-Group-II-Clade-10-and-11_X; species_Dino-Group-II-Clade-10-and-11_X_sp.
2d1259f4818be43c9df15c4a4500c59f	0	5	0	0	0	kingdom_Eukaryota; supergroup_Alveolata; division_Dinoflagellata; class_Syndiniales; order_Dino-Group-I; family_Dino-Group-I-Clade-1; genus_Dino-Group-I-Clade-1_X; species_Dino-Group-I-Clade-1_X_sp.
6b7a7f445fdbde4c37f77bac84229bc5	0	0	0	5	0	kingdom_Eukaryota; supergroup_Stramenopiles; division_Stramenopiles_X; class_MAST; order_MAST-3; family_MAST-3A; genus_MAST-3A_X; species_MAST-3A_X_sp.
bac19062af1395f4b1dd83fa82f39ac4	0	4	0	0	0	kingdom_Eukaryota; supergroup_Alveolata; division_Apicomplexa; class_Apicomplexa_X; order_Gregarines; family_Gregarines_X; genus_Lankesteria
605b6f645cfe9edb7cebf397f07277e0	0	4	0	0	0	kingdom_Eukaryota; supergroup_Opisthokonta; division_Metazoa; class_Mollusca; order_Gastropoda; family_Heterobranchia
b406a6596b5a9045cbd7a066a35b53d5	0	3	0	0	0	kingdom_Eukaryota; supergroup_Alveolata; division_Dinoflagellata; class_Dinophyceae
6119b73ab15810e2f0355af3f6307fa2	0	3	0	0	0	kingdom_Eukaryota
de4b6abedcaf9a017f34a981e26ed6f9	0	3	0	0	0	kingdom_Eukaryota; supergroup_Alveolata; division_Dinoflagellata; class_Syndiniales; order_Dino-Group-I; family_Dino-Group-I_X; genus_Dino-Group-I_XX; species_Dino-Group-I_XX_sp.
f8114f514dedfb36cb729ed46777f181	0	3	0	0	0	kingdom_Eukaryota; supergroup_Alveolata; division_Ciliophora; class_Oligohymenophorea; order_Apostomatia; family_Apostomatia_X; genus_Apostomatia_XX; species_Apostomatia_XX_sp.
993640b9237a75a2a787a53ee5cf8326	0	2	0	0	0	kingdom_Eukaryota; supergroup_Alveolata; division_Dinoflagellata; class_Syndiniales; order_Dino-Group-II; family_Dino-Group-II-Clade-21; genus_Dino-Group-II-Clade-21_X; species_Dino-Group-II-Clade-21_X_sp.
